timestamp,value
us-co 2018-01-31T03:13:00Z,19.02
us-co 2018-01-31T03:14:00Z,19.22
us-co 2018-01-31T03:15:00Z,20.65
us-co 2018-01-31T03:16:00Z,25.7
us-co 2018-01-31T03:17:00Z,21.03
us-co 2018-01-31T03:18:00Z,19.4
us-co 2018-01-31T03:19:00Z,17.73
us-co 2018-01-31T03:20:00Z,20.05
us-co 2018-01-31T03:21:00Z,20
us-co 2018-01-31T03:22:00Z,19.26
us-co 2018-01-31T03:23:00Z,18.84
us-co 2018-01-31T03:24:00Z,16.41
us-co 2018-01-31T03:25:00Z,21.07
us-co 2018-01-31T03:26:00Z,20.11
us-co 2018-01-31T03:27:00Z,22.87
us-co 2018-01-31T03:28:00Z,26.15
us-co 2018-01-31T03:29:00Z,27.23
us-co 2018-01-31T03:30:00Z,26.79
us-ct 2018-01-31T02:10:00Z,26.73
us-ct 2018-01-31T02:11:00Z,25.97
us-ct 2018-01-31T02:12:00Z,26.6
us-ct 2018-01-31T02:13:00Z,26.97
us-ct 2018-01-31T02:14:00Z,28.79
us-ct 2018-01-31T02:15:00Z,24.6
us-ct 2018-01-31T02:16:00Z,29.33
us-ct 2018-01-31T02:17:00Z,31.23
us-ct 2018-01-31T02:18:00Z,26.33
us-ct 2018-01-31T02:19:00Z,32.38
us-ct 2018-01-31T02:20:00Z,32.83
us-ct 2018-01-31T02:21:00Z,29.39
us-ct 2018-01-31T02:22:00Z,24.81
us-ct 2018-01-31T02:23:00Z,22.09
us-ct 2018-01-31T02:24:00Z,26.15
us-ct 2018-01-31T02:25:00Z,24.54
us-ct 2018-01-31T02:26:00Z,21.62
us-ct 2018-01-31T02:27:00Z,20.47
us-ct 2018-01-31T02:28:00Z,25.27
us-ct 2018-01-31T02:29:00Z,26.74
us-ct 2018-01-31T02:30:00Z,23.56
us-ct 2018-01-31T02:31:00Z,25.85
us-ct 2018-01-31T02:32:00Z,23.43
us-ct 2018-01-31T02:33:00Z,27.8
us-ct 2018-01-31T02:34:00Z,31.51
us-ct 2018-01-31T02:35:00Z,25.05
us-ct 2018-01-31T02:36:00Z,25.09
us-ct 2018-01-31T02:37:00Z,29.68
us-ct 2018-01-31T02:38:00Z,21.88
us-ct 2018-01-31T02:39:00Z,25.17
us-ct 2018-01-31T02:40:00Z,21.25
us-ct 2018-01-31T02:41:00Z,24.68
us-ct 2018-01-31T02:42:00Z,28.93
us-ct 2018-01-31T02:43:00Z,19.34
us-ct 2018-01-31T02:44:00Z,24.14
